                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                0.45549,                0.36175,                0.91842,                0.61381,                0.77715,                0.78303,                 0.5869,                 1.2392,                 1.7683,                 1.7889,             0.00029094,             0.00029094,             0.00029094
                    157,                0.47951,                0.36675,                0.92981,                0.66197,                0.73647,                 0.7924,                 0.5881,                   1.22,                  1.751,                 1.7602,             0.00028475,             0.00028475,             0.00028475
                    158,                0.51228,                0.39096,                0.94202,                 0.6804,                0.77083,                0.82214,                0.59747,                 1.2318,                 1.6152,                 1.7623,             0.00027856,             0.00027856,             0.00027856
                    159,                0.48297,                0.36469,                0.93245,                0.63877,                0.77135,                0.83416,                0.61817,                 1.2229,                 1.5396,                 1.7741,             0.00027237,             0.00027237,             0.00027237
                    160,                0.49035,                0.37399,                0.93436,                0.65442,                0.77262,                0.82531,                0.59692,                 1.2479,                 1.5238,                 1.8526,             0.00026619,             0.00026619,             0.00026619
                    161,                0.48193,                0.36117,                  0.931,                0.68976,                0.69761,                0.81259,                0.60376,                 1.2689,                 1.5075,                  1.907,                0.00026,                0.00026,                0.00026
                    162,                0.48153,                 0.3623,                 0.9226,                0.78032,                0.68186,                0.80437,                0.61778,                 1.2813,                 1.4592,                   1.93,             0.00025381,             0.00025381,             0.00025381
                    163,                0.47629,                0.36866,                0.91971,                0.76232,                0.70644,                 0.8074,                0.60995,                 1.3103,                 1.4862,                 1.9587,             0.00024762,             0.00024762,             0.00024762
                    164,                0.49113,                0.37972,                0.93027,                0.70279,                0.73539,                0.80459,                0.60659,                 1.2894,                 1.5876,                 1.9432,             0.00024144,             0.00024144,             0.00024144
                    165,                0.48611,                0.34567,                0.92993,                0.64406,                0.75371,                0.81121,                0.60815,                  1.291,                  1.705,                 1.9555,             0.00023525,             0.00023525,             0.00023525
                    166,                0.46616,                 0.3421,                0.91607,                0.53849,                0.72633,                0.77683,                0.59052,                 1.3174,                 1.8595,                 1.9257,             0.00022906,             0.00022906,             0.00022906
                    167,                0.47505,                0.36412,                0.92112,                0.52971,                0.76469,                0.77916,                0.57944,                 1.3322,                 1.9784,                 1.9171,             0.00022288,             0.00022288,             0.00022288
                    168,                0.47603,                 0.3527,                0.92581,                0.53324,                0.80507,                0.79297,                0.58208,                 1.3467,                 1.9956,                 1.9052,             0.00021669,             0.00021669,             0.00021669
                    169,                0.49333,                0.36797,                0.92547,                0.51083,                0.80929,                0.67109,                0.45639,                  1.337,                 2.0356,                 1.8892,              0.0002105,              0.0002105,              0.0002105
                    170,                0.48759,                0.37254,                0.92132,                0.53072,                0.80406,                0.63895,                0.43242,                 1.3604,                 2.0368,                 1.9103,             0.00020431,             0.00020431,             0.00020431
                    171,                0.44142,                0.34152,                0.90323,                0.53334,                0.80592,                0.78682,                0.59006,                 1.3026,                 1.8973,                 1.8654,             0.00019813,             0.00019813,             0.00019813
                    172,                0.46654,                0.36031,                0.92255,                0.54673,                0.79407,                0.77214,                0.59013,                 1.2707,                 1.8509,                 1.8588,             0.00019194,             0.00019194,             0.00019194
                    173,                0.47192,                0.35682,                0.91967,                0.52858,                0.80722,                0.77668,                0.58392,                 1.2882,                 1.7973,                  1.887,             0.00018575,             0.00018575,             0.00018575
                    174,                0.44793,                0.33778,                0.90789,                0.62042,                0.76366,                0.77043,                0.58545,                 1.3029,                 1.7535,                 1.9117,             0.00017956,             0.00017956,             0.00017956
                    175,                0.46668,                0.34129,                0.91912,                0.60688,                0.77735,                0.78538,                0.59758,                 1.2943,                 1.7193,                 1.8654,             0.00017338,             0.00017338,             0.00017338
                    176,                0.47292,                0.35111,                0.92551,                0.62365,                0.79037,                0.79699,                0.60223,                 1.3219,                  1.668,                  1.915,             0.00016719,             0.00016719,             0.00016719
                    177,                 0.4421,                0.32089,                0.90612,                0.72617,                0.72286,                0.80056,                0.61408,                 1.3212,                  1.661,                 1.9038,               0.000161,               0.000161,               0.000161
                    178,                0.48787,                0.34013,                0.91225,                0.76382,                0.74034,                0.78701,                 0.6043,                 1.3005,                 1.6213,                 1.8661,             0.00015481,             0.00015481,             0.00015481
                    179,                 0.4445,                0.32537,                 0.9016,                0.77535,                0.73753,                0.79255,                0.61264,                 1.2912,                 1.5882,                 1.8904,             0.00014862,             0.00014862,             0.00014862
                    180,                  0.467,                0.34798,                0.93243,                0.82739,                0.75379,                0.80889,                0.59974,                 1.2902,                  1.592,                 1.8594,             0.00014244,             0.00014244,             0.00014244
                    181,                0.44025,                0.33277,                 0.9021,                0.83722,                0.75379,                0.80498,                0.60898,                 1.3457,                 1.5741,                 1.9522,             0.00013625,             0.00013625,             0.00013625
                    182,                0.46251,                0.34414,                0.91542,                0.84553,                0.76714,                0.80772,                0.59193,                 1.3141,                 1.5902,                 1.8687,             0.00013006,             0.00013006,             0.00013006
                    183,                0.47676,                0.34028,                0.90733,                0.83541,                0.77194,                0.80714,                0.59622,                 1.3327,                 1.5976,                  1.926,             0.00012387,             0.00012387,             0.00012387
                    184,                0.45597,                0.32248,                0.92568,                0.76477,                0.75621,                0.77754,                 0.5872,                 1.3303,                 1.6509,                 1.9253,             0.00011769,             0.00011769,             0.00011769
                    185,                0.43724,                0.33386,                0.88736,                0.73447,                0.74825,                0.78269,                0.59482,                 1.3331,                 1.6647,                  1.928,              0.0001115,              0.0001115,              0.0001115
                    186,                0.44427,                 0.3236,                0.89914,                 0.7278,                0.75123,                0.78192,                0.60524,                  1.311,                 1.7295,                 1.8597,             0.00010531,             0.00010531,             0.00010531
                    187,                0.41751,                0.32276,                0.90236,                 0.7227,                0.71831,                 0.7977,                0.61026,                 1.3443,                 1.7402,                 1.8821,             9.9125e-05,             9.9125e-05,             9.9125e-05
                    188,                0.45894,                0.32959,                0.91723,                0.72626,                0.71582,                0.80669,                0.62193,                 1.3659,                 1.7053,                 1.8939,             9.2937e-05,             9.2937e-05,             9.2937e-05
                    189,                0.46676,                0.33788,                0.92055,                0.74088,                0.63445,                0.80363,                0.60959,                 1.3693,                 1.7293,                 1.9007,              8.675e-05,              8.675e-05,              8.675e-05
                    190,                0.42842,                0.32525,                0.91169,                0.74191,                0.65349,                0.80374,                0.61302,                 1.3713,                 1.7271,                 1.9204,             8.0563e-05,             8.0563e-05,             8.0563e-05
                    191,                0.38076,                0.33417,                0.86432,                0.72424,                0.69906,                0.80131,                0.61993,                 1.3833,                 1.6723,                 1.9918,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    192,                0.37292,                 0.3182,                0.88368,                0.72604,                0.68741,                0.80468,                0.62377,                 1.3081,                  1.673,                    1.9,             6.8188e-05,             6.8188e-05,             6.8188e-05
                    193,                0.37671,                0.31856,                0.87197,                0.70411,                0.74444,                0.80719,                0.61793,                 1.2812,                 1.6679,                 1.8779,                6.2e-05,                6.2e-05,                6.2e-05
                    194,                0.36691,                0.30985,                0.87666,                0.72497,                0.73264,                0.80988,                 0.6261,                 1.2524,                 1.6868,                 1.8565,             5.5813e-05,             5.5813e-05,             5.5813e-05
                    195,                0.38114,                0.32471,                0.88906,                0.69444,                0.71444,                0.78422,                0.60688,                 1.2383,                 1.6631,                 1.8537,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    196,                0.38173,                0.31143,                0.87112,                0.74339,                0.71774,                0.79984,                0.61546,                   1.23,                 1.6347,                 1.8477,             4.3438e-05,             4.3438e-05,             4.3438e-05
                    197,                0.37438,                0.30223,                0.86769,                0.71181,                0.70413,                0.79045,                0.62056,                 1.2361,                 1.6414,                 1.8539,              3.725e-05,              3.725e-05,              3.725e-05
                    198,                0.36415,                0.28887,                0.86563,                 0.7726,                0.70958,                0.79064,                0.61192,                 1.2488,                 1.6575,                 1.8558,             3.1063e-05,             3.1063e-05,             3.1063e-05
                    199,                0.35902,                0.28031,                0.86189,                0.75114,                0.71382,                0.79011,                0.61545,                 1.2451,                  1.659,                 1.8552,             2.4875e-05,             2.4875e-05,             2.4875e-05
                    200,                0.35921,                0.30703,                0.86747,                 0.7721,                0.72775,                0.78964,                0.60894,                 1.2651,                 1.6858,                 1.8698,             1.8688e-05,             1.8688e-05,             1.8688e-05
